TimeSinceCollection,Timestamp,AngularVelX,AngularVelY,AngularVelZ,AngleRoll,AnglePitch,AngleYaw,AccX,AccY,AccZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
252,1107400,-0.793457,0.305176,-1.15967,-87.4402,-5.51514,-169.739,0.162695,-9.93877,1.17236,-0.0314026,0.0963745,-0.684448,0.721893,-106.492,83.2667,-9.99167,-7325,-28864
258,1107406,-0.0610352,0.12207,-0.793457,-87.4292,-5.48767,-169.453,0.062207,-9.7043,1.3207,-0.0333557,0.0978699,-0.684174,0.721893,-106.575,83.2167,-9.975,-7325,-28864
264,1107412,-0.0610352,-0.0610352,-0.976563,-87.4237,-5.47119,-169.31,0.196191,-9.74258,1.37813,-0.0343628,0.0986023,-0.684021,0.721863,-106.608,83.225,-9.98333,-7325,-28864
270,1107418,-0.549316,0.12207,-0.793457,-87.4182,-5.45471,-169.173,0.253613,-9.88613,1.27285,-0.0353394,0.0993347,-0.683868,0.721863,-106.65,83.225,-9.975,-7325,-28864
276,1107424,-0.915527,0.244141,-0.366211,-87.4182,-5.43823,-169.03,0.100488,-9.91484,1.16758,-0.0363464,0.100067,-0.683746,0.721832,-106.683,83.2417,-9.975,-7325,-28864
282,1107430,-0.0610352,0,-0.183105,-87.4127,-5.41626,-168.893,0.0382813,-9.8335,1.225,-0.037323,0.100769,-0.683624,0.721802,-106.7,83.2667,-9.975,-7325,-28864
288,1107436,0,0.12207,-0.244141,-87.3962,-5.3833,-168.613,0.090918,-9.71387,1.3542,-0.0393066,0.102203,-0.683289,0.721802,-106.683,83.35,-9.95833,-7325,-28864
294,1107442,-0.12207,0.0610352,-0.366211,-87.3907,-5.36133,-168.475,0.114844,-9.71387,1.30635,-0.0403137,0.102936,-0.683136,0.721802,-106.683,83.3917,-9.95,-7325,-28864
300,1107448,-0.366211,0.366211,-0.549316,-87.3798,-5.34485,-168.338,0.0717773,-9.78086,1.29199,-0.0412598,0.103638,-0.683014,0.721771,-106.658,83.4333,-9.95,-7325,-28864
306,1107454,-0.427246,0.12207,-0.305176,-87.3743,-5.32837,-168.201,0.062207,-9.77129,1.24893,-0.0422363,0.10434,-0.682861,0.721741,-106.642,83.4583,-9.95,-7325,-28864
312,1107460,-0.305176,0.12207,-0.366211,-87.3633,-5.29541,-167.926,0.062207,-9.78564,1.27764,-0.0432129,0.105072,-0.682709,0.721741,-106.642,83.4833,-9.91667,-7325,-28864
