TimeSinceCollection,Timestamp,AngularVelX,AngularVelY,AngularVelZ,AngleRoll,AnglePitch,AngleYaw,AccX,AccY,AccZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
222,452815,-50.5981,67.9321,-15.1367,-81.8372,-20.4675,-133.841,4.71816,-6.91455,2.68447,0.187653,-0.377869,0.538239,-0.729523,-125.733,49.85,-64.375,-10305,-28503
228,452821,-51.3306,68.6646,-15.686,-81.9525,-20.495,-134.275,5.14404,-6.57959,2.6749,0.184387,-0.37616,0.540344,-0.729675,-125.65,49.85,-64.575,-10305,-28503
234,452827,-52.002,67.627,-17.0288,-82.1997,-20.5664,-135.143,5.39287,-6.23506,2.56963,0.177734,-0.372742,0.544525,-0.72998,-125.517,49.8667,-64.9667,-10305,-28503
240,452833,-51.8188,65.1855,-18.2495,-82.3206,-20.6158,-135.56,5.19668,-5.88574,2.49307,0.174377,-0.371094,0.546539,-0.730103,-125.442,49.8917,-65.1167,-10305,-28503
246,452839,-51.1475,61.7065,-19.165,-82.4469,-20.6763,-135.961,5.01006,-5.67041,2.55527,0.171021,-0.369568,0.548492,-0.730194,-125.358,49.925,-65.2333,-10305,-28503
252,452845,-50.4761,57.1289,-19.4702,-82.5732,-20.7477,-136.335,4.82822,-5.47422,2.5457,0.167725,-0.368195,0.550354,-0.730255,-125.275,49.95,-65.3583,-10305,-28503
258,452851,-49.8047,50.5981,-18.6157,-82.7051,-20.8191,-136.675,4.76123,-5.38809,2.75625,0.164551,-0.366943,0.552155,-0.730255,-125.183,49.95,-65.5083,-10305,-28503
264,452857,-46.6919,36.1328,-13.7329,-82.9907,-20.9454,-137.236,4.58896,-5.6417,3.17256,0.158752,-0.365021,0.555481,-0.72998,-125.017,50.0083,-65.8,-10305,-28503
270,452863,-44.2505,27.832,-10.2539,-83.1335,-21.0004,-137.45,4.50762,-6.18721,3.4166,0.156311,-0.364288,0.557007,-0.729706,-124.95,50.05,-65.95,-10305,-28503
276,452869,-40.8325,19.9585,-7.38525,-83.2764,-21.0388,-137.615,4.5459,-6.93369,3.38789,0.154205,-0.363739,0.558441,-0.72934,-124.875,50.075,-66.125,-10305,-28503
282,452875,-59.8145,23.6206,-12.207,-83.5071,-21.1047,-137.807,3.27783,-13.1735,-0.641211,0.152466,-0.363373,0.559723,-0.728912,-124.808,50.1083,-66.2833,-10305,-28503
288,452881,-47.6685,-12.146,10.437,-83.7433,-21.0992,-137.785,5.08184,39.1474,-0.669922,0.150146,-0.363068,0.561615,-0.728088,-124.775,50.1417,-66.4417,-10305,-28503
294,452887,110.596,51.4526,28.5034,-82.337,-20.8081,-138.175,-6.54131,6.85713,-0.813477,0.152222,-0.361267,0.559082,-0.730499,-124.692,50.1917,-66.7167,-10305,-28503
300,452893,5.00488,-27.0996,27.71,-82.3425,-20.7202,-138.065,-0.507227,-5.71826,3.69893,0.153168,-0.358093,0.556274,-0.734009,-124.642,50.2083,-66.85,-10305,-28503
306,452899,37.9028,15.3198,17.5171,-82.1063,-20.6543,-138.186,8.22568,-17.0878,6.74707,0.154358,-0.358124,0.556244,-0.733734,-124.592,50.2333,-66.9583,-10305,-28503
312,452905,52.8564,46.0205,9.64355,-81.7273,-20.5994,-138.477,0.411523,-5.92881,1.90928,0.154724,-0.356812,0.555328,-0.735016,-124.533,50.2333,-67.025,-10305,-28503
318,452911,19.5923,13.0615,7.01904,-81.579,-20.5774,-138.593,1.3877,-6.55566,3.94775,0.154144,-0.353699,0.553467,-0.738037,-124.442,50.225,-67.15,-10305,-28503
324,452917,20.813,18.8599,7.69043,-81.2659,-20.5115,-138.906,2.12461,-8.99609,2.3208,0.153717,-0.352539,0.553101,-0.738953,-124.275,50.2083,-67.35,-10305,-28503
330,452923,16.7236,4.39453,5.43213,-81.145,-20.5005,-138.977,3.05293,-8.49844,4.0626,0.153473,-0.35141,0.552582,-0.739929,-124.2,50.2,-67.4583,-10305,-28503
336,452929,9.82666,4.3335,4.76074,-81.0626,-20.495,-139.054,4.10566,-7.91943,2.36387,0.153412,-0.35083,0.552063,-0.740601,-124.133,50.175,-67.575,-10314,-28502
342,452935,4.27246,5.00488,5.12695,-81.0022,-20.484,-139.131,4.07695,-8.64199,1.85186,0.153259,-0.350342,0.551788,-0.741089,-124.067,50.15,-67.675,-10314,-28502
348,452941,2.44141,6.16455,4.57764,-80.9583,-20.473,-139.213,3.48359,-8.99609,1.86143,0.152649,-0.349304,0.551666,-0.741791,-124.008,50.1583,-67.7833,-10314,-28502
354,452947,0.976563,2.13623,2.50244,-80.8868,-20.4675,-139.345,3.03379,-9.1875,2.1916,0.152344,-0.348846,0.551666,-0.742065,-123.875,50.175,-68.0417,-10314,-28502
360,452953,0.366211,0,1.83105,-80.8594,-20.473,-139.4,3.06729,-9.02959,2.16768,0.152039,-0.348511,0.551636,-0.74231,-123.817,50.1917,-68.1833,-10314,-28502
366,452959,-0.549316,-2.19727,0.976563,-80.8429,-20.484,-139.444,3.25869,-8.91953,2.11025,0.151733,-0.348267,0.551636,-0.742493,-123.775,50.2167,-68.3,-10314,-28502
372,452965,-2.13623,-3.17383,0.671387,-80.8429,-20.495,-139.477,3.48359,-8.91475,1.84707,0.151459,-0.348083,0.551605,-0.742615,-123.725,50.2417,-68.3917,-10314,-28502
378,452971,-3.35693,-3.66211,0.732422,-80.8429,-20.506,-139.51,3.56973,-9.02481,1.65566,0.150879,-0.34787,0.551758,-0.742737,-123.683,50.2667,-68.5,-10314,-28502
384,452977,-4.08936,-4.27246,0.366211,-80.8594,-20.5334,-139.576,3.70371,-9.18272,1.33984,0.150574,-0.347809,0.551849,-0.742767,-123.625,50.3083,-68.6167,-10314,-28502
390,452983,-3.96729,-4.08936,0.244141,-80.8704,-20.5444,-139.609,3.77549,-9.21621,1.20107,0.150269,-0.347748,0.551971,-0.742767,-123.608,50.325,-68.6583,-10314,-28502
396,452989,-3.78418,-2.56348,0.366211,-80.8813,-20.5554,-139.647,3.78506,-9.27842,1.0001,0.149963,-0.347687,0.552094,-0.742767,-123.592,50.3083,-68.675,-10314,-28502
402,452995,-3.35693,-0.793457,-0.0610352,-80.8868,-20.5664,-139.697,3.52188,-9.38848,1.03359,0.149597,-0.347565,0.552246,-0.742798,-123.558,50.3,-68.675,-10314,-28502
408,453001,-2.2583,-0.0610352,-0.854492,-80.8813,-20.5774,-139.752,3.24434,-9.37891,1.36855,0.148804,-0.347198,0.55249,-0.74292,-123.525,50.3083,-68.6833,-10314,-28502
414,453007,-0.183105,-0.366211,-2.01416,-80.8649,-20.6104,-139.856,3.48838,-9.14443,1.33506,0.148407,-0.347015,0.552551,-0.743042,-123.475,50.2833,-68.725,-10314,-28502
420,453013,-0.549316,-0.732422,-2.13623,-80.8594,-20.6268,-139.905,3.69414,-9.13008,1.14365,0.14798,-0.346863,0.552582,-0.743164,-123.467,50.2583,-68.7333,-10314,-28502
426,453019,0.0610352,-0.671387,-1.77002,-80.8484,-20.6433,-139.96,3.76113,-9.13008,1.15322,0.147583,-0.34671,0.552643,-0.743286,-123.475,50.2583,-68.7,-10314,-28502
432,453025,0.854492,0.183105,-0.610352,-80.8374,-20.6543,-140.015,3.93818,-9.10137,1.18672,0.147186,-0.346558,0.552673,-0.743408,-123.467,50.2417,-68.6667,-10314,-28502
438,453031,0.793457,1.52588,-0.305176,-80.8209,-20.6598,-140.076,3.79463,-9.02002,1.18193,0.146423,-0.346039,0.552795,-0.743713,-123.425,50.225,-68.6333,-10314,-28502
444,453037,1.83105,1.58691,0.305176,-80.788,-20.6708,-140.197,3.69414,-9.12529,1.40205,0.146057,-0.345764,0.552856,-0.743866,-123.375,50.2333,-68.625,-10314,-28502
450,453043,2.01416,1.89209,0.427246,-80.766,-20.6708,-140.257,3.62715,-9.06787,1.42119,0.145691,-0.34549,0.552917,-0.744049,-123.383,50.2083,-68.65,-10305,-28503
