Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure,Label
212109,1.21543,-9.67559,0.60293,-86.3965,-7.10266,24.0161,0,0,0,-0.720428,0.658844,0.18631,-0.109894,55.7583,99.2667,-43.075,-7681,-28821,Default
212115,1.225,-9.66602,0.574219,-86.3965,-7.10266,24.0161,0,0,0,-0.720428,0.658844,0.18631,-0.109894,55.775,99.2833,-43.1167,-7689,-28820,Default
212121,1.22021,-9.68994,0.569434,-86.402,-7.10266,24.0161,0,0,0,-0.720428,0.658844,0.18631,-0.109894,55.775,99.275,-43.1833,-7689,-28820,Default
212127,1.22021,-9.69473,0.569434,-86.402,-7.10266,24.0161,0,0,0,-0.720428,0.658875,0.18631,-0.109863,55.7583,99.2667,-43.2167,-7689,-28820,Default
212133,1.20107,-9.68037,0.579004,-86.402,-7.10266,24.0161,0,0,0,-0.720428,0.658875,0.18631,-0.109863,55.7333,99.1917,-43.225,-7681,-28821,Default
212139,1.21064,-9.66602,0.583789,-86.402,-7.10266,24.0161,0,0,0,-0.720398,0.658875,0.18631,-0.109863,55.7333,99.1667,-43.2,-7681,-28821,Default
212145,1.1915,-9.6708,0.564648,-86.402,-7.10266,24.0161,0,0,0,-0.720398,0.658875,0.18631,-0.109863,55.7333,99.15,-43.1833,-7681,-28821,Default
212151,1.19629,-9.68037,0.583789,-86.402,-7.10266,24.0106,0,0,0,-0.720398,0.658875,0.18631,-0.109863,55.7417,99.1583,-43.1917,-7681,-28821,Default
212157,1.20586,-9.67559,0.598145,-86.402,-7.10266,24.0106,0,0,0,-0.720398,0.658875,0.18631,-0.109863,55.7667,99.175,-43.2167,-7681,-28821,Default
212163,1.19629,-9.68516,0.574219,-86.402,-7.10266,24.0106,0,0,0,-0.720398,0.658905,0.18631,-0.109833,55.7917,99.2167,-43.3,-7681,-28821,Default
212169,1.20107,-9.67559,0.574219,-86.402,-7.10266,24.0106,0,0,0,-0.720398,0.658905,0.186279,-0.109833,55.8,99.225,-43.3333,-7681,-28821,Default
212175,1.19629,-9.68994,0.588574,-86.402,-7.10266,24.0106,0,0,0,-0.720398,0.658905,0.186279,-0.109833,55.8083,99.2333,-43.3583,-7681,-28821,Default
212181,1.225,-9.69473,0.555078,-86.402,-7.10266,24.0106,0,0,0,-0.720398,0.658905,0.186279,-0.109833,55.8083,99.2333,-43.3917,-7681,-28821,Default
212187,1.18672,-9.68037,0.579004,-86.4075,-7.10266,24.0106,0,0,0,-0.720398,0.658905,0.186279,-0.109833,55.8167,99.2417,-43.3833,-7681,-28821,Default
